Stage,New Stage,,,,
Accelerator/Incubator,Accelerator,,,,Accelerator
Acquisition Financing,Other,,,,Other
Add-on,Preseed;Seed;Series A,,,,
And Solo-Capitalists,Angel,,,,Seed
Angel,Angel,,,,Series A
Angel (individual),Angel,,,,Angel
Angel Group,Angel,,,,Angel
Asset Acquisition,Other,,,,Other
Asset Divestiture (Corporate),Other,,,,Other
Asset Manager,Other,,,,Other
Bankruptcy: Admin/Reorg,Debt,,,,Debt
Bankruptcy: Liquidation,Debt,,,,Debt
Bonds,Bonds,,,,Bonds
Bonds (Convertible),Bonds,,,,Bonds
Bridge,Seed,,,,Seed
Business Development Company,Other,,,,Other
Buyout/LBO,Other,,,,Other
Capital Spending,Other,,,,Other
Capitalization,Other,,,,Other
Carveout,Other,,,,Other
Convertible Debt,Debt,,,,Debt
Corporate,Other,,,,Other
Corporate Asset Purchase,Other,,,,Other
Corporate Development,Strategic,,,,Strategic
Corporate Divestiture,Other,,,,Other
Corporate Licensing,Other,,,,Other
Corporate Venture Capital,Strategic,,,,Strategic
Corporation,Strategic,,,,Strategic
Debt - General,Debt,,,,Debt
Debt - PPP,Debt,,,,Debt
Debt Conversion,Debt,,,,Debt
Debt Refinancing,Debt,,,,Debt
Debt Repayment,Debt,,,,Debt
Debtor-In-Possession,Debt,,,,Debt
Distressed Acquisition,Debt,,,,Debt
Dividend Recapitalization,Other,,,,Other
Dtc,Seed,,,,Seed
Early Stage VC,Seed;Preseed,,,,Seed
Early Venture,Seed;Preseed,,,,Seed
Emerging Growth,Other,,,,Other
Equity Crowdfunding,Crowdfunding,,,,Crowdfunding
Equity For Service,Other,,,,Other
Exit Financing,Other,,,,Other
Family Office,Famiy Office,,,,Famiy Office
Fund of Funds,Fund of Funds,,,,Fund of Funds
Fundless Sponsor,Other,,,,Other
GP Stakes,Other,,,,Other
Government,Government & Grant,,,,Government & Grant
Grant,Government & Grant,,,,Government & Grant
Growth/Expansion,Other,,,,Other
Hedge Fund,Hedgefund,,,,Hedgefund
Holding Company,Other,,,,Other
IPO,Other,,,,Other
Impact Investing,Seed,,,,Seed
Incubation,Other,,,,Other
Infrastructure,Other,,,,Other
Investment Bank,Investment Bank,,,,Investment Bank
Investor Buyout by Management,Other,,,,Other
Joint Venture,Other,,,,Other
Junior Debt,Debt,,,,Debt
Late Venture,Series A,,,,Series A
Later Stage,Series A,,,,Series A
Later Stage VC,Series A,,,,Series A
Latin America,Preseed;Seed;Series A,,,,
Leasing,Other,,,,Other
Lender/Debt Provider,Debt,,,,Debt
Leveraged Recapitalization,Other,,,,Other
Limited Partner,Limited Partner,,,,Limited Partner
Loan,Other,,,,Other
Management Buy-In,Other,,,,Other
Management Buyout,Other,,,,Other
Mature,Other,,,,Other
Merchant Banking Firm,Other,,,,Other
Merger of Equals,Other,,,,Other
Merger/Acquisition,Other,,,,Other
Mezzanine,Other,,,,Other
Mid Venture,Seed;Series A,,,,Seed
Middle Market,Other,,,,Other
Not-For-Profit Venture Capital,Preseed;Seed;Series A,,,,
Other,Other,,,,Other
Other Private Equity,Other,,,,Other
Out of Business,Other,,,,Other
PE Growth/Expansion,PE,,,,PE
PE-Backed Company,PE,,,,PE
PE/Buyout,PE,,,,PE
PIPE,Other,,,,Other
Pre-Seed,Preseed,,,,
Pre-seed,Preseed,,,,
Privatization,Other,,,,Other
Product Crowdfunding,Crowdfunding,,,,Crowdfunding
Project Financing,Other,,,,Other
Public Investment 2nd Offering,Other,,,,Other
Public to Private,Other,,,,Other
Public-Private Partnership,Other,,,,Other
Real Estate,Real Estate,,,,Real Estate
Recapitalization,Other,,,,Other
Restart - Angel,Angel,,,,Angel
Restart - Corporate,Other,,,,Other
Restart - Early VC,Preseed;Seed,,,,
Restart - Later VC,Series A,,,,Series A
Reverse Merger,Other,,,,Other
Revolving Credit Line,Other,,,,Other
Sale-Lease back facility,Other,,,,Other
Scout,Preseed;Seed;Series A,,,,
Second Lien,Other,,,,Other
Secondary Buyer,Other,,,,Other
Secondary Buyout,Other,,,,Other
Secondary Transaction - Open Market,Other,,,,Other
Secondary Transaction - Private,Other,,,,Other
Secondary Transaction - Stock Distribution,Other,,,,Other
Secured,Other,,,,Other
Secured Debt,Debt,,,,Debt
Seed,Seed,,,,Seed
Seed Round,Seed,,,,Seed
Seller Notes,Other,,,,Other
Senior Debt,Other,,,,Other
Series A,Series A,,,,Series A
Series B,Series B,,,,Series B
Share Repurchase,Other,,,,Other
Sovereign Wealth Fund,Other,,,,Other
Sp_development_stage,Preseed;Seed,,,,
Spin-Off,Other,,,,Other
Stage Agnostic,Stage Agnostic,,,,Stage Agnostic
Subordinated,Other,,,,Other
Subordinated Debt,Debt,,,,Debt
Turnaround,Other,,,,Other
University,Government & Grant,,,,Government & Grant
Unsecured Debt,Debt,,,,Debt
Unsubordinated Debt,Other,,,,Other
VC-Backed Company,Strategic,,,,Strategic
Vendor Loan,Other,,,,Other
Venture Capital,Preseed;Seed;Series A,,,,
Venture Leasing,Other,,,,Other
"Angel, Scout, And Solo-Capitalists",Angel,,,,Angel
Stage Agnostic,Stage Agnostic,,,,Stage Agnostic
