full_name,first_name,last_name,company,Region(s),Stages,Industries
María F. González,María,F. González,ALLVP,"LatAm (Latin America); Mexico City, Mexico",Seed; Series A; Series B; Other Lists,Human Capital/HRTech; Insurance
Nicolas Heeren,Nicolas,Heeren,ALLVP,"LatAm (Latin America); Mexico City, Mexico",Seed; Series A; Series B; Other Lists,Social Commerce; E-commerce
Anne-Charlotte Paratre,Anne-Charlotte,Paratre,ALLVP,"Mexico City, Mexico; LatAm (Latin America)",Seed; Series A; Series B; Other Lists,Food and Beverage
Jimena Pardo,Jimena,Pardo,ALLVP,LatAm (Latin America),Pre-seed; Series A; Other Lists,Supply Chain Tech; Enterprise Applications; SMB Software; Payments; AI; Consumer Internet; Female Investors; Diverse Investors; Investors who were founders
Antonia Rojas Eing,Antonia,Rojas Eing,ALLVP,"Mexico City, Mexico; Mexico, Mexico; Santiago, Chile",Seed; Other Lists,IoT; FinTech; LatAm (Latin America)
Blanca Sañudo,Blanca,Sañudo,ALLVP,"LatAm (Latin America); Mexico, Mexico",Seed; Series A; Series B; Other Lists,Human Capital/HRTech; Future of Work; FinTech
Paul Judge,Paul,Judge,TechSquare Labs,"Alpharetta, Georgia; Atlanta, Georgia",Seed; Series A; Series B; Other Lists,"AI; Security; Consumer Internet; Raleigh-Durham / Southeast US; Diverse Investors; Angel, Scout, and Solo-Capitalists"
rodney sampson,rodney,sampson,TechSquare Labs,"Atlanta, Georgia",Pre-seed; Seed; Other Lists,Enterprise; SaaS; AI; Raleigh-Durham / Southeast US; Diverse Investors
Bas Godska,Bas,Godska,Acrobator Ventures,"Amsterdam, Netherlands",Pre-seed; Seed,MarketingTech; Enterprise Applications; E-commerce; Enterprise
Joachim Laqueur,Joachim,Laqueur,Acrobator Ventures,"Amsterdam, Netherlands",Pre-seed; Seed,Hardware; Payments; Enterprise; AI; FinTech
Mike Reiner,Mike,Reiner,Acrobator Ventures,"Amsterdam, Netherlands",Seed; Series A,MarketingTech; Data Services; AI; Enterprise
Ramon Vigdor,Ramon,Vigdor,Acrobator Ventures,"Amsterdam, Netherlands",Pre-seed; Seed,AI; SaaS
Aurore Belfrage,Aurore,Belfrage,CapitalT,Sweden,Seed,GovTech; Impact; ClimateTech/CleanTech; AI
Eva de Mol,Eva,de Mol,CapitalT,"Amsterdam, Netherlands",Seed,Future of Work; Education; ClimateTech/CleanTech
Seb Goddijn,Seb,Goddijn,CapitalT,"Stanford, California",Seed; Series A; Other Lists,Diagnostics; Education; Media/Content; Social Networks; San Francisco Bay Area
Charnez Jacobs,Charnez,Jacobs,CapitalT,"Amsterdam, Netherlands",Seed,Future of Work; Digital Health
Marta Krupinska,Marta,Krupinska,CapitalT,London,Seed; Other Lists,GovTech; FinTech
Janneke Niessen,Janneke,Niessen,CapitalT,"Amsterdam, Netherlands",Seed,Future of Work; Education; ClimateTech/CleanTech; Digital Health; AI
Corinne Vigreux,Corinne,Vigreux,CapitalT,"Amsterdam, Netherlands",Seed,Education; TransportationTech
David Cerda Salzmann,David,Cerda Salzmann,FORWARD.one,Netherlands,Seed; Series A,AudioTech; AR/VR; Hardware; EnergyTech
Marc de Jong,Marc,de Jong,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Semiconductors; AutoTech; EnergyTech
Boy de jonge,Boy,de jonge,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,AudioTech; Travel; AR/VR; Robotics; EnergyTech; Cloud Infrastructure; ClimateTech/CleanTech
Rembrandt Donkersloot,Rembrandt,Donkersloot,FORWARD.one,Netherlands,Seed; Series A,AudioTech; LegalTech; Advertising; AR/VR; MarketingTech; EnergyTech; Cloud Infrastructure
Frederik Gerner,Frederik,Gerner,FORWARD.one,"Cape Town, South Africa",Seed; Series A,EnergyTech; ClimateTech/CleanTech
Arjan Gobel,Arjan,Gobel,FORWARD.one,Netherlands,Seed; Series A,AudioTech; AR/VR; Robotics; EnergyTech; Cloud Infrastructure; ClimateTech/CleanTech
Jim Jansen,Jim,Jansen,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Human Capital/HRTech; Retail; Cybersecurity
Paul Pruijmboom,Paul,Pruijmboom,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Medical Devices; Hardware; Real Estate/PropTech; FinTech
Philip Seijger,Philip,Seijger,FORWARD.one,Netherlands,Seed; Series A,AudioTech; AR/VR; Hardware; EnergyTech; Cloud Infrastructure; Real Estate/PropTech
Riemer Smink,Riemer,Smink,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Medical Devices; Robotics; Real Estate/PropTech
Marcel Stolk,Marcel,Stolk,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Hardware; Manufacturing; MarketingTech; Logistics; Enterprise Applications; Enterprise; FinTech
Viktor Tsjebanov,Viktor,Tsjebanov,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Digital Health; BioTech; Health & Hospital Services; Health IT; FinTech
Robin van Boxsel,Robin,van Boxsel,FORWARD.one,"Amsterdam, Netherlands",Seed; Series A,Hardware; Real Estate/PropTech; SaaS
Michael Koenka,Michael,Koenka,Koenka & Partners BV,,Pre-seed; Seed; Other Lists,Space; AgTech; Hardware; Impact; EnergyTech; Web3/Blockchain; ClimateTech/CleanTech; AI; SaaS; FinTech; Diverse Investors; Investors who were founders; Investors who invested in female founders; Investors who invested in diverse founders
Balder Bomans,Balder,Bomans,Maven 11 Capital,"Amsterdam, Netherlands",Seed,Web3/Crypto; Web3/Blockchain; FinTech
Darius Rugys,Darius,Rugys,Maven 11 Capital,Netherlands,Seed; Series A,Web3/Crypto; Web3/Blockchain
Joost van der Plas,Joost,van der Plas,Maven 11 Capital,"Amsterdam, Netherlands",Pre-seed; Seed; Series A,Web3/Blockchain; Web3/Crypto
Mathijs van Esch,Mathijs,van Esch,Maven 11 Capital,"Eindhoven, Netherlands",Seed; Series A,Web3/Blockchain; Web3/Crypto
Rune Theill,Rune,Theill,Rockstart,"Amsterdam, Netherlands",Seed; Series A,AgTech; EnergyTech
Rolf Bixner,Rolf,Bixner,Tablomonto,Netherlands,Seed; Series A; Series B,Travel; Retail; Logistics; TransportationTech
Tamara Obradov,Tamara,Obradov,Tablomonto,"Amsterdam, Netherlands",Seed; Series A; Series B,Retail; Media/Content; E-commerce
Maarten Rutgers,Maarten,Rutgers,Tablomonto,Netherlands,Seed; Series A; Series B,Lodging/Hospitality; Travel; MarketingTech; Medical Devices; AI; FinTech
Janneke Tjon Pian Gi,Janneke,Tjon Pian Gi,Tablomonto,Netherlands,Seed; Series A; Series B,MarketingTech; Manufacturing; Logistics; Social Networks; EnergyTech
Adam Anders,Adam,Anders,Anterra Capital,"Amsterdam, Netherlands",Seed; Series A; Series B,Supply Chain Tech; Food and Beverage; AgTech; FinTech
